ATTR1;DUREE;COMPETENCE
2DIC4X;0700;GPBL
2DIC6X;0700;GPBL
2DICIH;0700;GPBL
2DICLR;0700;GPBL
2DIDF2;0700;GPBL
2DIDF5;0700;GPBL
2DIDIE;0700;GPBL
2DIHCN;0700;GPBL
2DILAA;0330;GPBL
2DIMOS;0700;GPBL
2DIMWS;0700;ERS
2DINF2;0700;GPBL
2DINF5;0700;GPBL
2DINF8;0700;GPBL
2DIP14;0700;GPBL
2DIUAD;0700;GPBL
2DIUCE;0700;GPBL
2IS210;0030;GPBL
2ISIPA;0200;GPBL
2ISLPA;0200;GPBL
2ISNUM;0200;GPBL
2ISTDS;0030;GPBL
2ONPOW;0400;GPBL
2OS834;0700;GPBL
2OS899;0100;GPBL
2OS917;0330;GPBL
2OS930;0700;GPBL
2OS947;0700;GPBL
2OS948;0700;GPBL
2OS949;0700;GPBL
2OS960;0700;GPBL
2OS982;0300;GPBL
2OS992;0330;GPBL
2OS993;0330;GPBL
2OS995;0200;GPBL
2OS998;0330;GPBL
2OS999;0300;GPBL
2PC100;0330;GPBL
