iloCodeIlot;iloLibelleIlot;iloOptim;iloCodeEtablissement;iloCodeBase;iloInfo;iloInfoAdmin;iloDateCreation;iloDateModif;iloDateSuppression;used;sedIdServDem;prsIdProdSav;dacIdDomAct;coIdCompetence;siIdSite;enIdEntreprise;fiIdFiltrage;tiIdTypeIot;banIdBandeau
OSM;UI MIROIR NEUF CEGETEL; ;TF7;T1;;;;22/03/2016;;?;;;;UI de type SE (Boite au lettre);;;;SE;  
OTL;Ilot Reception OPO Opit TLSE;0;TF7;T1;Prise de rendez-vous des OPO pour Toulouse N et S;;;22/03/2016;30/03/2016;Non;CACER;PROD;E;Ilot accueil OPO;;;;ETL;CE
OTS;Ilot Reception OPO Opit TL;0;TF7;T1;;;;22/03/2016;;;;;;;Tlse_Gble;;;FT;CE
P09; SADTF7 POI ARIEGE;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;_09;SADTF7;;ETL;CE
P12; SCOTF7 POI AVEYRON;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;12;SCOTF7;;ETL;CE
P31; SADTF7 POI 31 SUD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;31Sud;SADTF7;;ETL;CE
P32; SADTF7 POI GERS;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;32;SADTF7;;ETL;CE
P3N; SCOTF7 POI TOULOUSE + 31 NORD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;Tlse_Nord;SCOTF7;;ETL;CE
P3S; SADTF7 POI TOULOUSE SUD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;Tlse_Sud;SADTF7;;ETL;CE
P46; SCOTF7 POI LOT;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;46;SCOTF7;;ETL;CE
P65; SADTF7 POI HAUTES PYRENEES;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;65;SADTF7;;ETL;CE
P76;UI nationale dediee publiphonie;0;TF7;T1;02/06/2015 - Recueille la publiphonie (MIT / PLI / PUC) pour le 31 et 46 - ETR Sogetrel;OPC / AUT et DPL des réo dans UGPC;;22/03/2016;;Oui;CA GD;SAV;GD;Publiphonie;P76;;;FT;C 
P81; SCOTF7 POI TARN;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;81_Gble;SCOTF7;;ETL;CE
P82; SCOTF7 POI TARN ET GARONNE;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;PROD;BL;UI POI;82;SCOTF7;;ETL;CE
PBC;UI de releve PBC;0;TF7;T1;pour relève auto en PBC;;;22/03/2016;;Oui;CA GD;;GD;ui pilotage pro;;;;FT;CE
PBX;ui reo cagd vers Cacer;0;TF7;T1;Ilots de réo entre CAGD et CACER;créée à la demande de Michel Pozmanoff, mi-janvier;;22/03/2016;;Oui;CACER;SAV;E;PABX;;;;ETL;R 
PCO;PRESOMPTIONS DERCO ISSUS OCAPI;0;TF7;T1;Ilots UGPC pour GEDERCO - 6 équipes de type 9 (Filtrage) - 0B1 à 0B6;;;22/03/2016;;Oui;UI UGPC;;;;;;;FT;C 
PDC;ANALYSE DI AVEC PRESOMPTION DERCO;0;TF7;T1;;;;22/03/2016;;Oui;UI UGPC;;;;;;;FT;C 
PDE;UI FICTIF pour PDE;0;TF7;T1;PDE n'est plus sensé être utilisée;;;22/03/2016;;Oui;UI UGPC;;;;;;;ETL;C 
PF1;BL/ SEVAMP POI FIBRE;0;TF7;T1;;;;22/03/2016;;;;;;;;;;ETL;CE
PFS;BL/ SADTF7 POI FIBRE;0;TF7;T1;;;;22/03/2016;;;;;;;;SADTF7;;ETL;CE
PIO;pole int offr complx;0;TF7;T1;Activité Intégration PIOC SAV;;;22/03/2016;;Oui;CACER;SAV;E;;;;;FT;CE
PPC;UI FICTIVE CLOTURES ROA PR FTH;0;TF7;T1;;;;22/03/2016;;;;;;;;;;FT;C 
PPT;ALQPOT - BL Preventif Poteau;0;TF7;T1;Ilot pour le Plan Poteau - ETR Alquenry ALQPOT;;;22/03/2016;;Oui;UI Nat;;;;;;;ETL;R 
PRE;UI Poubelle pour les TRE;0;TF7;T1;;;;22/03/2016;;Oui;UI UGPC;;;;;;;RE;C 
PSC;UI STOCKAGE DES POI-PR CHAFF;0;TF7;T1;;;;22/03/2016;;Oui;;;;;;;;ETL;CE
